0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.46131015,0.42309234,0.5096865,0.42281744,0.6758962,0.4966243,0.48589537,0.5112785,0.67429984,0.47097036,0.6730523,0.4218986,0.4863061,0.67430335,0.675877,0.8959458,0.4863836,0.9197131,0.699406,0.42257416,0.4858818
0.47133598,0.53851354,0.72755355,0.5382086,0.7798656,0.69742787,0.649189,0.6932753,0.77710706,0.44578594,0.7748867,0.53741634,0.64948416,0.7771134,0.77982736,0.65248114,0.6495809,0.6715422,0.81955713,0.5381657,0.6491773
0.54929197,0.51018155,0.61663043,0.5099107,0.6123872,0.45770657,0.584159,0.46913055,0.6094775,0.56394625,0.6096201,0.5089725,0.5844879,0.609479,0.61231416,0.7807022,0.5845548,0.8036758,0.6986185,0.50982887,0.5841479
0.47357088,0.555829,0.64980125,0.5554646,0.6856596,0.5196999,0.6300941,0.5330951,0.6821902,0.54135835,0.6831691,0.5544993,0.6304346,0.68219256,0.6855916,0.90868694,0.6305052,0.9364082,0.7704232,0.55535156,0.6300802
0.43297416,0.45379233,0.5823655,0.45350072,0.7170952,0.6727791,0.5223371,0.68930215,0.71491843,0.40782994,0.714006,0.4526005,0.5226204,0.71492314,0.7170929,0.72763014,0.52269363,0.7152712,0.7410074,0.45329246,0.5223237
0.510286,0.53276885,0.6329672,0.53241247,0.69649446,0.4462677,0.60142887,0.48003238,0.6945563,0.56139714,0.6940082,0.5312831,0.60190845,0.6945551,0.6964043,0.9159226,0.6020026,0.9547894,0.7569979,0.5322371,0.60141796
0.4668763,0.48743352,0.5792772,0.48714724,0.62776744,0.54654443,0.54958403,0.5425699,0.6246551,0.534628,0.6251911,0.48619533,0.5499583,0.62465703,0.6277027,0.8415759,0.5500353,0.8711108,0.71637636,0.48694083,0.54957074
0.52724624,0.47488365,0.5690575,0.47455317,0.6302796,0.54318935,0.5434615,0.5485768,0.62883496,0.5680186,0.62754357,0.47362512,0.5438303,0.6288341,0.6302325,0.88662165,0.54389745,0.9098813,0.72122633,0.4744164,0.54344755
0.4920458,0.5188985,0.6412768,0.51859486,0.6755205,0.50258964,0.594991,0.50484884,0.6733669,0.49305516,0.6721952,0.5176409,0.5953436,0.67336786,0.6754645,0.8356036,0.59542644,0.8323135,0.7740951,0.51844037,0.5949781
0.49527642,0.59001315,0.64255655,0.5900098,0.8476842,0.7455364,0.63470846,0.7436126,0.8465727,0.3746675,0.84685606,0.58976555,0.6351082,0.84656864,0.847582,0.7124227,0.6351588,0.7269696,0.8363964,0.5898807,0.634694
